集电线路,箱变号,逆变器号,组串号,组串状态
芭盆3线45#,45,1,24,空支路
芭盆3线45#,45,2,24,空支路
芭盆3线45#,45,3,11,零支路
芭盆3线45#,45,3,24,空支路
芭盆3线45#,45,4,24,空支路
芭盆3线45#,45,5,24,空支路
芭盆3线45#,45,6,6,零支路
芭盆3线45#,45,6,24,空支路
芭盆3线45#,45,7,24,空支路
芭盆3线45#,45,8,1,零支路
芭盆3线45#,45,8,23,零支路
芭盆3线45#,45,8,24,空支路
芭盆3线45#,45,9,24,空支路
芭盆3线46#,46,1,24,空支路
芭盆3线46#,46,2,24,空支路
芭盆3线46#,46,3,24,空支路
芭盆3线46#,46,4,24,空支路
芭盆3线46#,46,5,14,零支路
芭盆3线46#,46,5,24,空支路
芭盆3线46#,46,6,24,空支路
芭盆3线46#,46,7,24,空支路
芭盆3线46#,46,8,24,空支路
芭盆3线46#,46,9,24,空支路
芭盆3线46#,46,10,24,空支路
芭盆3线46#,46,12,23,空支路
芭盆3线46#,46,12,24,空支路
芭盆3线46#,46,13,18,零支路
芭盆3线46#,46,13,23,零支路
芭盆3线46#,46,13,24,空支路
芭盆3线47#,47,1,24,空支路
芭盆3线47#,47,2,24,空支路
芭盆3线47#,47,3,24,空支路
芭盆3线47#,47,4,1,零支路
芭盆3线47#,47,4,16,零支路
芭盆3线47#,47,4,24,空支路
芭盆3线47#,47,5,1,零支路
芭盆3线47#,47,5,2,零支路
芭盆3线47#,47,5,5,零支路
芭盆3线47#,47,5,6,零支路
芭盆3线47#,47,5,9,零支路
芭盆3线47#,47,5,24,空支路
芭盆3线47#,47,6,19,零支路
芭盆3线47#,47,6,24,空支路
芭盆3线47#,47,7,24,空支路
芭盆3线47#,47,8,24,空支路
芭盆3线47#,47,9,24,空支路
芭盆3线47#,47,10,24,空支路
芭盆3线47#,47,11,24,空支路
芭盆3线47#,47,12,5,零支路
芭盆3线47#,47,12,6,零支路
芭盆3线47#,47,12,7,零支路
芭盆3线47#,47,12,8,零支路
芭盆3线47#,47,12,9,零支路
芭盆3线47#,47,12,10,零支路
芭盆3线47#,47,12,24,空支路
芭盆3线47#,47,13,24,空支路
芭盆3线48#,48,1,24,空支路
芭盆3线48#,48,2,24,空支路
芭盆3线48#,48,3,24,空支路
芭盆3线48#,48,4,24,空支路
芭盆3线48#,48,5,24,空支路
芭盆3线48#,48,6,24,空支路
芭盆3线48#,48,7,24,空支路
芭盆3线48#,48,8,24,空支路
芭盆3线48#,48,9,24,空支路
芭盆3线48#,48,10,24,空支路
芭盆3线49#,49,1,22,零支路
芭盆3线49#,49,1,24,空支路
芭盆3线49#,49,2,24,空支路
芭盆3线49#,49,3,1,零支路
芭盆3线49#,49,3,2,零支路
芭盆3线49#,49,3,3,零支路
芭盆3线49#,49,3,4,零支路
芭盆3线49#,49,3,5,零支路
芭盆3线49#,49,3,6,零支路
芭盆3线49#,49,3,14,零支路
芭盆3线49#,49,3,23,零支路
芭盆3线49#,49,3,24,空支路
芭盆3线49#,49,4,24,空支路
芭盆3线49#,49,5,21,零支路
芭盆3线49#,49,5,22,零支路
芭盆3线49#,49,5,24,空支路
芭盆3线49#,49,6,4,零支路
芭盆3线49#,49,6,24,空支路
芭盆3线58#,58,1,24,空支路
芭盆3线58#,58,2,24,空支路
芭盆3线58#,58,3,24,空支路
芭盆3线58#,58,4,24,空支路
芭盆3线58#,58,5,24,空支路
芭盆3线58#,58,6,23,空支路
芭盆3线58#,58,6,24,空支路
芭盆3线58#,58,7,24,空支路
芭盆3线58#,58,8,5,零支路
芭盆3线58#,58,8,23,空支路
芭盆3线58#,58,8,24,空支路
芭盆3线58#,58,9,23,空支路
芭盆3线58#,58,9,24,空支路
芭盆3线58#,58,10,16,零支路
芭盆3线58#,58,10,21,空支路
芭盆3线58#,58,10,22,空支路
芭盆3线58#,58,10,23,空支路
芭盆3线58#,58,10,24,空支路
芭盆3线59#,59,1,21,空支路
芭盆3线59#,59,1,22,空支路
芭盆3线59#,59,1,23,空支路
芭盆3线59#,59,1,24,空支路
芭盆3线59#,59,2,24,空支路
芭盆3线59#,59,3,24,空支路
芭盆3线59#,59,4,24,空支路
芭盆3线59#,59,5,24,空支路
芭盆3线59#,59,6,24,空支路
芭盆3线59#,59,7,24,空支路
芭盆3线59#,59,8,24,空支路
芭盆3线59#,59,9,24,空支路
芭盆3线59#,59,10,24,空支路
芭盆3线59#,59,12,19,零支路
